id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4.821E+15,M8Obpi0SR,5993403510,好搞笑鸭,#黄子佼##综艺#果然是亲老公，吐槽起来完全不在怕的。二人合体录综艺太甜！L好搞笑鸭的微博视频,,,,"黄子佼,综艺",0,1,3,2022/10/4 23:45,微博视频号,,"http://f.video.weibocdn.com/o0/WCZY5lDnlx07ZJfpEaKk0104120087sa0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665163854&ssig=0pArIInTSX&KID=unistore,video",
4.82099E+15,M8O9p69te,2890391854,就知道你喜欢看,女孩好心帮助男生，却因此被残忍杀害，这真相太令人寒心#综艺二创榜##综艺#L就知道你喜欢看的微博视频,,,,"综艺二创榜,综艺",0,0,0,2022/10/4 23:40,微博视频号,,"http://f.video.weibocdn.com/o0/ztJM6tETlx07ZJipajQY01041200QJ0Q0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665163854&ssig=M4MZHf4X3g&KID=unistore,video",
4.82099E+15,M8O2gtmn4,2890391854,就知道你喜欢看,修杰楷不让波妞吃糖，谁料贾静雯居然出面撒娇，这下不同意都不行了！网友：贾静雯和老公好有夫妻相啊！#综艺二创榜##综艺#L就知道你喜欢看的微博视频,,,,"综艺二创榜,综艺",0,0,0,2022/10/4 23:22,微博视频号,,"http://f.video.weibocdn.com/o0/NVmmWofjlx07ZJhckNsI01041200d9gq0E010.mp4?label=mp4_720p&template=1024x576.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665163854&ssig=Ate01TGUc5&KID=unistore,video",
4.82099E+15,M8NVUDa0U,2890391854,就知道你喜欢看,陈松伶学程莉莎撒娇，张铎一进门吓坏了，感觉自己抱错人！网友：毫无求生欲了！#综艺二创榜##综艺#L就知道你喜欢看的微博视频,,,,"综艺二创榜,综艺",0,0,0,2022/10/4 23:07,微博视频号,,"http://f.video.weibocdn.com/o0/dJHF94M9lx07ZJg7I23C01041200oSYL0E010.mp4?label=mp4_720p&template=1024x576.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665163854&ssig=4vqGNG5dAZ&KID=unistore,video",
4.82098E+15,M8NIQ587B,2890391854,就知道你喜欢看,婆婆又说陈松伶的不是？张铎忍不住发飙：你好好检讨你自己吧！网友：张铎一直很明事理！#综艺二创榜##综艺#L就知道你喜欢看的微博视频,,,,"综艺二创榜,综艺",0,0,0,2022/10/4 22:34,微博视频号,,"http://f.video.weibocdn.com/o0/0dN39R8Ilx07ZJdUzNXO01041200cplX0E010.mp4?label=mp4_720p&template=1024x576.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665163854&ssig=vnsJceUvqC&KID=unistore,video",
4.82098E+15,M8NIx8beP,6012535720,潜逃八月,娱乐博主#娱乐博主认证##娱乐#2022.10.4天气??我想参与#娱乐博主认证##娱乐#是我很感兴趣的领域#娱乐博主认证#成功的话我会很开心#娱乐#无极限#娱乐#快点亮#综艺#很好看@微博小秘书@微博小秘书@微博小秘书可以吗可以吗可以吗求你了求你了求你了#娱乐博主怎么认证#我很想知道@曹国伟！让我亮起来快点安排！@微博会员小秘书@微博小秘书好吧，我明天再来签到打卡，让我亮起来吧，每天都来哦！爱你呀宝贝@微博客服@微博客服中心小秘书#娱乐博主认证#,,,"微博小秘书,曹国伟,微博会员小秘书,微博客服,微博客服中心小秘书","娱乐博主认证,娱乐,综艺,娱乐博主怎么认证",0,0,0,2022/10/4 22:34,娱乐博主超话,,,
4.82098E+15,M8NH4p66B,6212580217,男人的快乐未成年,#综艺##搞笑#暴力袋鼠遇上对手了，拳击擂台赛遇大白熊，瞬间被K.O！L男人的快乐未成年的微博视频,,,,"综艺,搞笑",0,0,0,2022/10/4 22:30,微博视频号,,"http://f.video.weibocdn.com/o0/tIF9i0iBlx07ZJ76ZW5O010412013L5s0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665163854&ssig=nLtnShPuvi&KID=unistore,video",
4.82097E+15,M8NCwwcvC,2890391854,就知道你喜欢看,3岁的王诗龄耍性子，当众把衣服丢地上，惹王岳伦当场发飙！网友：这小姑娘真是看着长大的！#综艺二创榜##综艺#L就知道你喜欢看的微博视频,,,,"综艺二创榜,综艺",0,0,1,2022/10/4 22:19,微博视频号,,"http://f.video.weibocdn.com/o0/NTV1dYF2lx07ZJcQkSFW01041200xKkI0E010.mp4?label=mp4_720p&template=1024x576.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665163854&ssig=NKClbVTxe%2B&KID=unistore,video",
4.82097E+15,M8NyWBit2,6212580217,男人的快乐未成年,#综艺#师娘马秋华惊喜现身，李丹阳直言：马老师是学习生活的指路人L男人的快乐未成年的微博视频,,,,综艺,0,0,0,2022/10/4 22:10,微博视频号,,"http://f.video.weibocdn.com/o0/4cAAvGEWlx07ZJ60xxWU01041200t4ey0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665163854&ssig=%2F3bBdFnUl%2F&KID=unistore,video",
4.82064E+15,M8EQFBqSP,7747647644,爆笑脱口秀名场面,鸟鸟脱口秀大会爆笑名场面大集合，综艺搞笑高光时刻笑岔气#鸟鸟##鸟鸟##颜怡颜悦##脱口秀大会##爆笑课代表挑战赛##李诞##综艺##童漠男##搞笑幽默微博##一年一度喜剧大赛#L爆笑脱口秀名场面的微博视频,,,,"鸟鸟,颜怡颜悦,脱口秀大会,爆笑课代表挑战赛,李诞,综艺,童漠男,搞笑幽默微博,一年一度喜剧大赛",0,0,54,2022/10/3 23:59,微博视频号,,"http://f.video.weibocdn.com/u0/rEQ4cq6Lgx07ZHIOutIQ0104120057xq0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665163866&ssig=soRoyDQe1k&KID=unistore,video",
